,revertingDate,revertingCommit,revertedCommit,revertedDate,timeLag,type
4295,1235138842,a9caa3de249a6c43bc9c6aec87881f09276677e3,6c87df37dcb9c6c33923707fa5191e0a65874d60,1225136307,116,HMG
4329,1235977571,4c4531d64dd0442813c7307b860bf40a2aec51bc,38f1df27e3191d76e983cb9c6b4392582fd32fda,1235901344,1,HMG
4348,1234775583,d14a7e0bfc4aed6452a436c9836903fbd1a5d6ad,32e176c14d7a425b681ef003c9061001ddb7fc7b,1228572548,72,HMG
4350,1233175864,12d60e28bed3f593aac5385acbdbb089eb8ae21e,7cd5b08be3c489df11b559fef210b81133764ad4,1227123598,70,HMG
4432,1227740115,3bdca1b863c1ebcb2244fc0cb683876d7330e62b,faee816b1502385dc9bc5abf2960d1cc645844d1,1221189145,75,HMG
4452,1226022719,d17cb18a07c587b8f9ff174a1bf6d03413eabe64,8fd145917fb62368a9b80db59562c20576238f5a,1224267747,21,HMG
4455,1226004544,934f6c3f8e7f5d6a6d07ae2df283fd02393019dd,063279062a8c530cc90fb77797db16c49c905b26,1225283456,8,HMG
4527,1218818709,1f49a2c2aeb22d5abc6d4ea574ff63d37ca55fbe,9d55b9923a1b7ea8193b8875c57ec940dc2ff027,1201884314,196,HMG
4658,1206106356,6e908947b4995bc0e551a8257c586d5c3e428201,4960c9df1407c2723459c60ff13e6efe0c209c62,1200993781,59,HMG
4667,1207422853,797de7bdb253624c16144f40b72ec65d63cdcca2,7c0ea45be4f114d85ee35caeead8e1660699c46f,1205225807,25,HMG
4673,1206710883,48d3d8263c491822d50e64547bae5f6b4a54ec59,1192aeb957402b45f311895f124e4ca41206843c,1206596902,1,H
4678,1206002432,5c9fcb5deef4d3a49798d76c48b726d2e3c7df72,3620f2f2f39e7870cf1a4fb2e34063a142f28716,1197030034,104,HMG
4687,1205827475,77321e624b64f1e5985a20f3cd16b94c96d0dbb4,0119509c4fbc9adcef1472817fda295334612976,1200541176,61,HMG
4696,1205209636,4af8e10a6c57e7292862bd1703712f0565c7e429,208c70a45624400fafd7511b96bc426bf01f8f5e,1203022727,26,HMG
4767,1200993781,4960c9df1407c2723459c60ff13e6efe0c209c62,d4d25deca49ec2527a634557bf5a6cf449f85deb,1196106139,57,HMG
4780,1199821597,d238998fbfa49f30b02f0a5de5294ca53c58348c,57a04513cb35086d54bcb2cb92e6627fc8fa0fae,1199650193,2,HMG
4781,1199643432,7b3d9545f9ac8b31528dd2d6d8ec8d19922917b8,ac40532ef0b8649e6f7f83859ea0de1c4ed08a19,1199291134,4,HMG
4813,1195606748,0af2f653c504d302d83d3a648c0408882ff62d4c,f2d68935ba08cf80f151bbdb5628381184e4a498,1195425423,3,HMG
4816,1195493039,f0714d20234062bd0a8f49a6b32f7d1d7f3c2943,9cd8047b463f213c294f756119ac353312e7a152,1192602668,33,HMG
4880,1190170852,efe870f9f4ad74410a18ecbf0d9ba7c14b50a0fb,4cf92a3cd9117cb90ad9441172b9f42b67ee9d26,1184031456,71,HMG
